composition,phase,density,hv,yield_strength,young_modulus
Al0.25 Co1 Fe1 Ni1,FCC,7.9,138,158,192
Al0.5 Co1 Fe1 Ni1,FCC+BCC,7.4,212,346,179.4743678
Al0.75 Co1 Fe1 Ni1,FCC+BCC,7,385,794,169.4344571
Al1 Co1 Fe1 Ni1,BCC,6.6,456,964,162
Co1 Fe1 Ni1,FCC,8.5,125,204,207
Co1 Fe1 Ni1,FCC,8.5,125,209,207
Co1 Fe1 Ni1 Si0.25,FCC,7.7,149,196,186
Co1 Fe1 Ni1 Si0.5,FCC+Sec.,7.1,287,476,173.2884594
Co1 Fe1 Ni1 Si0.75,FCC+Sec.,6.6,570,1301,161.0207542
Co1 Cr1 Fe1 Ni1,FCC,8.2,127.5599349,274,226
Co1 Cr1 Mn1 Ni1,FCC,8.1,301.9920871,282,222
Co1 Cr1 Ni1,FCC,8.3,335.0289365,300,231
Co1 Fe1 Mn1 Ni1,FCC,8.2,241.1910519,170,204
Co1 Fe1 Ni1,FCC,8.5,156.0356238,211,207
Co1 Mn1 Ni1,FCC,8.4,287.6829987,231,202
Fe1 Mn1 Ni1,FCC,8.1,230.7868111,221,203
Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,8.2,138.247127,318,222.2636163
Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,8.2,134.423627,322,220.7108113
Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,8.2,147.3613159,403,219.225163
Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,8.2,223.4235513,479,216.3317606
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,8.2,227.8049995,638,213.5567409
Co1 Cr1 Fe1 Ni1,FCC,8.2,127.5599349,148,226
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,110,379.9428315,213
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,113,379.9428315,213
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,131,374.9740321,207
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,196,487.7361249,207
