composition,phase,density,hv,yield_strength,young_modulus
CoFeNi,FCC,8.5,125,204,207
CoFeNi,FCC,8.5,125,209,207
CoFeNi,FCC,8.5,125.155632,211,207
CoFeNiSi0.25,FCC,7.7,149,196,194
CoFeNiSi0.5,FCC + Im,7.1,287,476,192.9016266
CoFeNiSi0.75,FCC + Im,6.6,570,1301,179.4013977
Al0.25CoFeNi,FCC,7.9,138,158,196
Al0.5CoFeNi,FCC + BCC,7.4,212,346,187
Al0.75CoFeNi,FCC + BCC,7,385,794,179
CoCrFeNi,FCC,8.2,114.4692154,148,225
CoCrFeNi,FCC,8.2,116,226.3311429,225
CoCrFeNi,FCC,8.2,113,226.3311429,225
CoCrFeMo0.5Ni,FCC + Im,8.5,210,468.9357143,236.0866699
CoCrFeNb0.103Ni,FCC + Im,8.2,122.8106155,318,218.678772
CoCrFeNb0.155Ni,FCC + Im,8.2,121.9775467,322,218.678772
CoCrFeNb0.206Ni,FCC + Im,8.2,121.1543732,403,219.8898926
CoCrFeNb0.309Ni,FCC + Im,8.2,158.1989594,479,216.2476959
CoCrFeNb0.412Ni,FCC + Im,8.2,192.4391174,638,216.8989105
CoCrFeNiTi,FCC,7.2,357.9942017,998.6272381,135
Co1.5CrFeNi1.5Ti0.5,FCC,7.8,509,737.9399524,211
Co1.5CrFeNi1.5Ti,FCC + Im,7.4,654,1328.941119,161.9886627
Al0.25CoCrFeNi,FCC,7.7,110,279.2719048,216
Al0.25CoCrFeNi,FCC,7.7,113,279.2719048,216
Al0.375CoCrFeNi,FCC,7.5,131,295.9103333,211
Al0.375CoCrFeNi,FCC,7.5,196,331.6547143,211
Al0.5CoCrFeNi,FCC + BCC,7.3,159,435.5542857,208
Al0.5CoCrFeNi,FCC + BCC,7.3,209,462.9312857,208
Al0.7Co0.3CrFeNi,FCC + BCC + B2,6.8,624,2033,193.2765808
Al0.75CoCrFeNi,FCC + BCC,7,388,1153.287667,200
Al0.75CoCrFeNi,FCC + BCC,7,280,837.0293333,200
Al0.875CoCrFeNi,FCC + BCC,6.9,439.1669006,1280.317143,197
Al0.875CoCrFeNi,BCC,6.9,538,1483.240543,197
