dataset,method,run,seed,train_acc,test_acc,TP,FP,TN,FN,n_classes,d_original,d_retained,efs_std_input,efs_prune_ratio,efs_val_size,efs_best_std
Breast Cancer (low redundancy),Baseline,1,4436,1.0,0.965034965034965,90,5,48,0,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,1,4436,1.0,0.965034965034965,90,5,48,0,2,30,30,,,,
Breast Cancer (low redundancy),RFE,1,4436,1.0,0.965034965034965,90,5,48,0,2,30,30,,,,
Breast Cancer (low redundancy),L1,1,4436,1.0,0.916083916083916,85,7,46,5,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,1,4436,1.0,0.9300699300699301,84,4,49,6,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,2,750,1.0,0.9300699300699301,83,3,50,7,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,2,750,1.0,0.9300699300699301,83,3,50,7,2,30,30,,,,
Breast Cancer (low redundancy),RFE,2,750,1.0,0.9300699300699301,83,3,50,7,2,30,30,,,,
Breast Cancer (low redundancy),L1,2,750,1.0,0.9090909090909091,81,4,49,9,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,2,750,1.0,0.916083916083916,82,4,49,8,2,30,10,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,3,3357,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,3,3357,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),RFE,3,3357,1.0,0.965034965034965,88,3,50,2,2,30,30,,,,
Breast Cancer (low redundancy),L1,3,3357,1.0,0.958041958041958,87,3,50,3,2,30,30,,,,
Breast Cancer (low redundancy),ElliotFS,3,3357,1.0,0.958041958041958,87,3,50,3,2,30,9,None,0.8,0.25,0.0
Breast Cancer (low redundancy),Baseline,4,1329,1.0,0.951048951048951,84,1,52,6,2,30,30,,,,
Breast Cancer (low redundancy),MutualInfo,4,1329,1.0,0.951048951048951,84,1,52,6,2,30,30,,,,
Breast Cancer (low redundancy),RFE,4,1329,1.0,0.951048951048951,84,1,52,6,2,30,30,,,,
