composition,phase,density,hv,yield_strength,young_modulus
Al0.25 Co1 Fe1 Ni1,FCC,7.9,138,158,192
Al0.5 Co1 Fe1 Ni1,FCC+BCC,7.4,212,346,
Al0.75 Co1 Fe1 Ni1,FCC+BCC,7,385,794,
Al1 Co1 Fe1 Ni1,BCC,6.6,456,964,162
Co1 Fe1 Ni1,FCC,8.5,125,204,207
Co1 Fe1 Ni1,FCC,8.5,125,209,207
Co1 Fe1 Ni1 Si0.25,FCC,7.7,149,196,186
Co1 Fe1 Ni1 Si0.5,FCC+Sec.,7.1,287,476,
Co1 Fe1 Ni1 Si0.75,FCC+Sec.,6.6,570,1301,
Co1 Cr1 Fe1 Ni1,FCC,8.2,,274,226
Co1 Cr1 Mn1 Ni1,FCC,8.1,,282,222
Co1 Cr1 Ni1,FCC,8.3,,300,231
Co1 Fe1 Mn1 Ni1,FCC,8.2,,170,204
Co1 Fe1 Ni1,FCC,8.5,,211,207
Co1 Mn1 Ni1,FCC,8.4,,231,202
Fe1 Mn1 Ni1,FCC,8.1,,221,203
Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec.,8.2,,318,
Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec.,8.2,,322,
Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec.,8.2,,403,
Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec.,8.2,,479,
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec.,8.2,,638,
Co1 Cr1 Fe1 Ni1,FCC,8.2,,148,226
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,110,,213
Al0.25 Co1 Cr1 Fe1 Ni1,FCC,7.7,113,,213
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,131,,207
Al0.375 Co1 Cr1 Fe1 Ni1,FCC,7.5,196,,207
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,159,,
Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,7.3,209,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,7,388,,
Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,7,280,,
Al0.875 Co1 Cr1 Fe1 Ni1,BCC,6.9,538,,188
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.9,361,,
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,6.5,487,,177
Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,6.5,499,,177
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,484,,171
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,517,,171
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,509,,160
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,512,,160
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,484,,184
Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.7,433,,
Co1 Cr1 Fe1 Ni1,FCC,8.2,116,,226
Co1 Cr1 Fe1 Ni1,FCC,8.2,113,,226
Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,7.7,425,,
Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,6.6,655,,
Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC+B2,6.3,605,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,7.1,715,,
Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,8.5,210,,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,6.6,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC+BCC,5.9,,,
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC+BCC,5.6,643,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,6.2,,,
Co1 Cr1 Fe1 Ni1 Ti1,FCC,7.2,,,195
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,7.2,717,,
Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,7.6,487,,201
Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,7.4,654,,
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,7.8,509,,
Al0.7 Co0.3 Cr1 Fe1 Ni1,FCC+BCC+B2,6.8,624,2033,
Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,6.9,,,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,6.2,402,,171
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,5.6,487,,152
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,5.9,432,,160
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,5.3,506,,145
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,395,,184
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,6.8,342,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC,8.3,286,,206
Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,8.1,296,,
Cr1 Cu1 Fe1 Mo1 Ni1,FCC,8.7,263,,236
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1251,184
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.7,,957,
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.6,,906,
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.5,,867,
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.5,,1056,
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.4,,1060,
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,5.9,,1255,
Al1 C1 Co1 Cr1 Fe1 Ni1,BCC+Sec.,6.2,,1251,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1138,184
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,6.8,,1804,188
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec.,6.9,,2456,
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec.,7,,2649,
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec.,7,,2670,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,,2757,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1051,184
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,6.8,569,1641,182
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec.,6.8,668,1959,
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec.,7,747,2473,
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec.,7,,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,520,1373,184
Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,7.3,270,,
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7,801,,
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,7.2,741,,
Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,7.3,586,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,796,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,7.1,755,,
Al1 Co1 Cr1 Fe0.6 Mo0.5 Ni1,BCC+Sec.,7.1,754,,
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec.,7.2,635,,
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec.,7.2,639,,
Al1 Co1 Cr1 Fe1 Mo0.5,B2+Sec.,6.8,857,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,7.1,730,,
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,B2+Sec.,7,708,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,FCC+B2+Sec.,7.2,586,,
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,FCC+B2+Sec.,7.3,395,,
Al1 Co1 Cr1 Fe1 Ni1,BCC,6.7,,1110,184
Al1 Co1 Cr1 Fe1 Ni1 Si1,BCC+Sec.,5.7,,2411,
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,6.5,,1265,176
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,6.2,,1481,169
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,6,,1834,162
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,5.8,,2179,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,7.4,,,192
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,7.5,,750,189
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,7.1,,1580,
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,6.8,,1900,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,7.8,,700,194
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,6.2,,1860,
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,6.4,178,2260,
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,6.1,,2220,
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,6.3,780,,
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,6.2,790,,129
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,5.9,800,,119
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,7.1,680,,
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,7.3,850,,
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,7.1,630,,
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,7.3,790,,
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,6.8,590,,
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,7.1,740,,
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.9,180,,216
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.7,171,220,212
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,7.5,182,244,205
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.4,183,285,
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.4,220,331,
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.3,278,526,
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.2,405,833,
Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.2,486,,
Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7.1,530,,
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,7,539,,
