name,symbol,atomic_mass,boiling_point,conductivity/thermal,critical_pressure,critical_temperature,crystal_structure,density/stp,electron_affinity,electronegativity_pauling,electrons_per_shell/0,energy_levels,heat/specific,heat/vaporization,heat/fusion,heat/molar,ionization_energies/0,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,period,phase,radius/calculated,radius/empirical,radius/covalent,radius/vanderwaals,refractive_index,valence_electrons,ionization_energies/1,conductivity/electric,density/liquid,electrical_type,electrons_per_shell/1,hardness/mohs,ionization_energies/2,modulus/bulk,modulus/shear,modulus/young,resistivity,thermal_expansion
Hydrogen,H,1.008,20.271,0.1805,1.293,32.97,Simple Hexagonal,0.0899,72.769,2.2,1,1,14300,0.452,0.558,28.836,1312,13.99,0.01121,0.332,0.011,1,Gas,53,25,37,120,1.000132,1,,,,,,,,,,,,
Helium,He,4.0026022,4.222,0.1513,0.227,5.19,Face-centered Cubic,0.1785,-48,,2,2,5193.1,0.083,0.02,,2372.3,0.95,0.022424,0.007,0.00001,1,Gas,31,,32,140,1.000035,0,5250.5,,,,,,,,,,,
Lithium,Li,6.94,1603,85,67,3223,Body-centered Cubic,535,59.6326,0.98,2,"2, 1",3570,147,3,24.86,520.2,453.65,0.00001297,71,,2,Solid,167,145,134,182,,1,7298.1,11,512,Conductor,1,0.6,11815,11,4.2,4.9,9.40E-08,0.000046
Beryllium,Be,9.01218315,2742,190,,,Simple Hexagonal,1848,-48,1.57,2,"2, 2",1820,297,7.95,16.443,899.5,1560,4.88E-06,0.0092,0.00003,2,Solid,112,105,90,,,2,1757.1,25,1690,Conductor,2,5.5,14848.7,130,132,287,4.00E-08,0.0000113
Boron,B,10.81,4200,27,,,Simple Trigonal,2460,26.989,2.04,2,"2, 3",1030,507,50,11.087,800.6,2349,4.39E-06,760,2.4,2,Solid,87,85,82,,,3,2427.1,1.00E-10,2080,Insulator,3,9.3,3659.7,320,,,10000,0.000006
Carbon,C,12.011,4300,140,,,Simple Hexagonal,2260,121.7763,2.55,2,"2, 4",710,715,105,8.517,1086.5,3823,5.31E-06,0.0035,0.000015,2,Solid,67,70,77,170,2.417,4,2352.6,0.1,,Conductor,4,0.5,4620.5,33,,,0.00001,0.0000071
Nitrogen,N,14.007,77.355,0.02583,3.39,126.21,Simple Hexagonal,1.251,-6.8,3.04,2,"2, 5",1040,2.79,0.36,,1402.3,63.15,0.011197,1.91,0.0048,2,Gas,56,65,75,155,1.000298,3,2856,,,,5,,4578.1,,,,,
Oxygen,O,15.999,90.188,0.02658,5.043,154.59,Base-centered Monoclinic,1.429,140.976,3.44,2,"2, 6",919,3.41,0.222,,1313.9,54.36,0.011196,0.00028,0.000001,2,Gas,48,60,73,152,1.000271,2,3388.3,,,,6,,5300.5,,,,,
Fluorine,F,18.99840316,85.03,0.0277,5.172,144.13,Base-centered Monoclinic,1.696,328.1649,3.98,2,"2, 7",824,3.27,0.26,,1681,53.48,0.011202,0.0096,0.00002,2,Gas,42,50,71,147,1.000195,1,3374.2,,,,7,,6050.4,,,,,
Neon,Ne,20.17976,27.104,0.0491,2.76,44.4,Face-centered Cubic,0.9,-116,,2,"2, 8",1030,1.75,0.34,,2080.7,24.56,0.02242,0.04,0.00059,2,Gas,38,,69,154,1.000067,0,3952.3,,,,8,,6122,,,,,
Sodium,Na,22.98976928,1156.09,140,35,2573,Body-centered Cubic,968,52.867,0.93,2,"2, 8, 1",1230,97.7,2.6,28.23,495.8,370.944,0.00002375,0.53,0.0007,3,Solid,190,180,154,227,,1,4562,21,927,Conductor,8,0.5,6910.3,6.3,3.3,10,4.70E-08,0.00007
Magnesium,Mg,24.305,1363,160,,,Simple Hexagonal,1738,-40,1.31,2,"2, 8, 2",1020,128,8.7,24.869,737.7,923,0.000013984,0.063,0.0001,3,Solid,145,150,130,173,,2,1450.7,23,1584,Conductor,8,2.5,7732.7,45,17,45,4.40E-08,0.0000248
Aluminium,Al,26.98153857,2743,235,,,Face-centered Cubic,2700,41.762,1.61,2,"2, 8, 3",904,293,10.7,24.2,577.5,933.47,0.00000999,0.233,0.03,3,Solid,118,125,118,,,3,1816.7,38,2375,Conductor,8,2.75,2744.8,76,26,70,2.60E-08,0.0000231
Silicon,Si,28.085,3538,150,,,Tetrahedral Packing,2330,134.0684,1.9,2,"2, 8, 4",710,359,50.2,19.789,786.5,1687,0.000012054,0.166,0.0002,3,Solid,111,110,111,210,,4,1577.1,0.001,2570,Semiconductor,8,6.5,3231.6,100,,47,0.001,0.0000026
Phosphorus,P,30.973762,553.6,0.236,,,Simple Triclinic,1823,72.037,2.19,2,"2, 8, 5",769.7,12.4,0.64,23.824,1011.8,317.3,0.000016991,0.18,0.0002,3,Solid,98,100,106,180,1.001212,5,1907,10,,Conductor,8,,2914.1,11,,,1.00E-07,
Sulfur,S,32.06,717.8,0.205,20.7,1314,Face-centered Orthorhombic,1960,200.4101,2.58,2,"2, 8, 6",705,9.8,1.73,22.75,999.6,388.36,0.000016357,0.52,0.00055,3,Solid,88,100,102,180,1.001111,6,2252,1.00E-21,1819,Insulator,8,2,3357,7.7,,,1.00E+15,
Chlorine,Cl,35.45,239.11,0.0089,7.991,416.9,Base Orthorhombic,3.214,348.575,3.16,2,"2, 8, 7",478.2,10.2,3.2,,1251.2,171.6,0.01103,35.3,0.033,3,Gas,79,100,99,175,1.000773,5,2298,1.00E-08,,Insulator,8,,3822,1.1,,,100,
Argon,Ar,39.9481,87.302,0.01772,4.898,150.87,Face-centered Cubic,1.784,-96,,2,"2, 8, 8",520.33,6.5,1.18,,1520.6,83.81,0.022392,0.66,0.00059,3,Gas,71,71,97,188,1.000281,0,2665.8,,,,8,,3931,,,,,
